,ID,reaction_type,Datetime,Content_Type,Category,Sentiment,Score
129,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,disgust,4/27/2021 0:46,photo,science,negative,0
130,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,disgust,11/20/2020 10:39,photo,science,negative,0
131,0491183b-be25-4108-b667-8c30d3cdbf50,disgust,7/11/2020 18:45,audio,veganism,negative,0
132,359b93ea-446f-4202-8801-db238de5de4d,disgust,2/26/2021 19:38,photo,food,negative,0
136,86346263-02db-4020-a216-9e54f502f643,disgust,9/19/2020 14:51,GIF,travel,negative,0
137,86346263-02db-4020-a216-9e54f502f643,disgust,11/4/2020 5:30,GIF,travel,negative,0
138,3529c44b-d0f4-4bd2-b6eb-be97d2f7623f,disgust,9/28/2020 14:41,photo,studying,negative,0
139,9d94f180-947c-40f5-aa05-f1958759b7fc,disgust,3/13/2021 14:46,video,science,negative,0
140,497da46d-d5d5-45b0-827a-f2b75d7bf4c2,disgust,5/6/2021 4:52,photo,culture,negative,0
141,497da46d-d5d5-45b0-827a-f2b75d7bf4c2,disgust,3/18/2021 15:44,photo,culture,negative,0
145,fada6910-2cc5-4600-808c-1e6066f795a6,disgust,8/26/2020 19:01,GIF,technology,negative,0
146,be85274a-28f1-4c6d-9ea1-7b20d1e0c66f,disgust,2/27/2021 7:03,photo,culture,negative,0
147,be85274a-28f1-4c6d-9ea1-7b20d1e0c66f,disgust,6/27/2020 14:11,photo,culture,negative,0
148,1de2f0f9-61ab-43fb-9180-6870824c63c0,disgust,11/10/2020 1:05,GIF,science,negative,0
149,1de2f0f9-61ab-43fb-9180-6870824c63c0,disgust,7/7/2020 20:10,GIF,science,negative,0
150,c2d6e707-f00e-4fa4-a193-eb36272f58df,disgust,4/15/2021 19:16,GIF,veganism,negative,0
151,af7971aa-5fd5-41d3-b6c3-583704a705a2,disgust,1/3/2021 6:27,video,healthy eating,negative,0
152,af7971aa-5fd5-41d3-b6c3-583704a705a2,disgust,4/20/2021 15:01,video,healthy eating,negative,0
153,5d8dbd6f-cc78-4f7a-a65c-cd9dde481dd0,disgust,11/24/2020 8:08,video,healthy eating,negative,0
154,5d8dbd6f-cc78-4f7a-a65c-cd9dde481dd0,disgust,12/21/2020 19:33,video,healthy eating,negative,0
155,5d8dbd6f-cc78-4f7a-a65c-cd9dde481dd0,disgust,5/4/2021 17:40,video,healthy eating,negative,0
156,cd568dd1-70cf-45d6-b495-10eebff8c920,disgust,11/4/2020 7:49,photo,dogs,negative,0
157,cd568dd1-70cf-45d6-b495-10eebff8c920,disgust,10/30/2020 8:38,photo,dogs,negative,0
158,cd568dd1-70cf-45d6-b495-10eebff8c920,disgust,11/11/2020 23:23,photo,dogs,negative,0
159,cd568dd1-70cf-45d6-b495-10eebff8c920,disgust,2/15/2021 11:09,photo,dogs,negative,0
160,72822fb8-8a40-4cf1-a86a-42140b3bf9f3,disgust,4/12/2021 10:58,photo,travel,negative,0
161,72822fb8-8a40-4cf1-a86a-42140b3bf9f3,disgust,1/1/2021 15:36,photo,travel,negative,0
162,72822fb8-8a40-4cf1-a86a-42140b3bf9f3,disgust,12/13/2020 17:23,photo,travel,negative,0
163,72822fb8-8a40-4cf1-a86a-42140b3bf9f3,disgust,11/13/2020 10:06,photo,travel,negative,0
164,ef99fd68-74fb-4c72-bc70-742ebca14499,disgust,5/25/2021 23:39,video,soccer,negative,0
165,d147ab3c-4097-4eec-b4dc-480e4ece801b,disgust,5/25/2021 7:18,audio,culture,negative,0
167,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,10/23/2020 11:36,GIF,cooking,negative,0
168,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,4/3/2021 22:31,GIF,cooking,negative,0
169,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,12/23/2020 13:18,GIF,cooking,negative,0
170,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,4/16/2021 10:24,GIF,cooking,negative,0
171,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,7/8/2020 21:07,GIF,cooking,negative,0
172,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,11/13/2020 15:40,GIF,cooking,negative,0
173,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,9/14/2020 10:32,GIF,cooking,negative,0
174,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,10/14/2020 23:46,GIF,cooking,negative,0
175,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,11/1/2020 8:01,GIF,cooking,negative,0
176,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,5/20/2021 0:01,GIF,cooking,negative,0
177,65545cfb-59bb-4dc1-a38b-82f268210da2,disgust,7/6/2020 14:07,audio,technology,negative,0
178,65545cfb-59bb-4dc1-a38b-82f268210da2,disgust,9/6/2020 13:50,audio,technology,negative,0
179,65545cfb-59bb-4dc1-a38b-82f268210da2,disgust,10/15/2020 4:56,audio,technology,negative,0
180,433607b3-eeb4-48b8-9263-9805c1b89d55,disgust,1/20/2021 20:27,video,education,negative,0
181,433607b3-eeb4-48b8-9263-9805c1b89d55,disgust,4/14/2021 3:34,video,education,negative,0
182,1000371f-7758-4c44-a1bc-41fd836b0bcb,disgust,1/23/2021 20:42,audio,studying,negative,0
183,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,disgust,7/6/2020 15:48,video,studying,negative,0
184,8e3896e3-2f84-4b47-9365-fb562c9ed730,disgust,9/24/2020 20:48,video,public speaking,negative,0
185,8e3896e3-2f84-4b47-9365-fb562c9ed730,disgust,9/1/2020 8:27,video,public speaking,negative,0
186,8e3896e3-2f84-4b47-9365-fb562c9ed730,disgust,2/2/2021 11:04,video,public speaking,negative,0
187,de9796a6-d19d-4c41-a965-7aa4dcc69fee,disgust,5/6/2021 16:55,audio,technology,negative,0
188,de9796a6-d19d-4c41-a965-7aa4dcc69fee,disgust,4/5/2021 15:27,audio,technology,negative,0
191,391a9aa4-c04a-431e-8366-712d92267c2b,disgust,5/24/2021 9:55,video,public speaking,negative,0
192,391a9aa4-c04a-431e-8366-712d92267c2b,disgust,4/29/2021 20:20,video,public speaking,negative,0
193,36d36f19-7a10-4d7d-a3ab-a3f2cbbfcf4a,disgust,12/25/2020 6:35,photo,food,negative,0
194,36d36f19-7a10-4d7d-a3ab-a3f2cbbfcf4a,disgust,12/12/2020 11:40,photo,food,negative,0
195,36d36f19-7a10-4d7d-a3ab-a3f2cbbfcf4a,disgust,7/15/2020 12:39,photo,food,negative,0
196,c7066a17-2e12-49d2-bb9e-c8967051f490,disgust,2/16/2021 15:42,GIF,public speaking,negative,0
197,c7066a17-2e12-49d2-bb9e-c8967051f490,disgust,9/3/2020 8:25,GIF,public speaking,negative,0
200,c6cbd704-9d4a-4ace-b61e-e5df74ee83af,disgust,4/5/2021 5:18,photo,education,negative,0
201,eb6fc324-f85b-4bfb-b712-0a3eceb0b9d7,disgust,8/21/2020 17:43,GIF,soccer,negative,0
202,b6c24086-becf-4615-801e-c3c298a8d4e2,disgust,11/4/2020 1:35,photo,travel,negative,0
203,b6c24086-becf-4615-801e-c3c298a8d4e2,disgust,5/23/2021 19:58,photo,travel,negative,0
204,b6c24086-becf-4615-801e-c3c298a8d4e2,disgust,6/20/2020 11:04,photo,travel,negative,0
205,b6c24086-becf-4615-801e-c3c298a8d4e2,disgust,7/20/2020 16:21,photo,travel,negative,0
206,1beeffff-f261-435f-a109-6fafe46669d4,disgust,1/24/2021 3:47,photo,public speaking,negative,0
207,1beeffff-f261-435f-a109-6fafe46669d4,disgust,3/12/2021 4:13,photo,public speaking,negative,0
208,1beeffff-f261-435f-a109-6fafe46669d4,disgust,5/4/2021 7:33,photo,public speaking,negative,0
209,1beeffff-f261-435f-a109-6fafe46669d4,disgust,11/26/2020 18:34,photo,public speaking,negative,0
211,3a7f83a0-b9f9-44c1-a15d-656c4095e732,disgust,10/15/2020 10:31,GIF,soccer,negative,0
212,2b6921de-e7f2-4e30-8feb-36bd41becaf0,disgust,5/6/2021 3:02,audio,travel,negative,0
213,b56a9e24-d0f2-4599-b893-c2889a15e1d6,disgust,7/4/2020 16:40,video,veganism,negative,0
214,b56a9e24-d0f2-4599-b893-c2889a15e1d6,disgust,7/21/2020 2:54,video,veganism,negative,0
220,61b45c79-c23b-4bbd-a4fe-0bb3611486c7,disgust,1/8/2021 20:20,audio,tennis,negative,0
221,61b45c79-c23b-4bbd-a4fe-0bb3611486c7,disgust,4/13/2021 5:12,audio,tennis,negative,0
222,2c511a63-5eb5-422f-8483-c9fcf9a29b55,disgust,9/7/2020 18:59,GIF,technology,negative,0
223,edc4a60a-b5ba-4178-b99e-9d34ed92599c,disgust,7/8/2020 13:41,audio,technology,negative,0
224,2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,disgust,12/26/2020 8:14,photo,animals,negative,0
225,2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,disgust,11/14/2020 0:40,photo,animals,negative,0
226,2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,disgust,5/25/2021 15:23,photo,animals,negative,0
229,509a5fb0-9bb2-4809-9f90-18ae007acc94,disgust,10/16/2020 8:30,video,dogs,negative,0
230,509a5fb0-9bb2-4809-9f90-18ae007acc94,disgust,5/10/2021 15:05,video,dogs,negative,0
231,509a5fb0-9bb2-4809-9f90-18ae007acc94,disgust,1/13/2021 19:15,video,dogs,negative,0
232,f1038e6c-5292-4e20-a866-675e1637d6b5,disgust,6/20/2020 6:53,GIF,soccer,negative,0
233,f1038e6c-5292-4e20-a866-675e1637d6b5,disgust,1/20/2021 5:01,GIF,soccer,negative,0
234,08cc29f3-a22d-4652-8f27-ff9e0a826289,disgust,11/1/2020 6:30,photo,technology,negative,0
235,a784c1dd-e2ab-408d-a0c3-226a51d420e1,disgust,9/16/2020 15:06,audio,technology,negative,0
237,5bb364a6-8646-4cdb-b1cf-09f4125718d8,disgust,7/12/2020 11:17,audio,soccer,negative,0
238,5bb364a6-8646-4cdb-b1cf-09f4125718d8,disgust,12/12/2020 3:19,audio,soccer,negative,0
239,5bb364a6-8646-4cdb-b1cf-09f4125718d8,disgust,3/7/2021 3:51,audio,soccer,negative,0
240,de95cdb1-a85a-40de-8467-892e2d1481af,disgust,1/25/2021 12:39,video,education,negative,0
241,6199f5ca-cc02-410d-a408-e034946de162,disgust,4/9/2021 0:41,video,animals,negative,0
242,6199f5ca-cc02-410d-a408-e034946de162,disgust,11/17/2020 7:00,video,animals,negative,0
243,6199f5ca-cc02-410d-a408-e034946de162,disgust,8/4/2020 23:23,video,animals,negative,0
244,6199f5ca-cc02-410d-a408-e034946de162,disgust,7/22/2020 7:50,video,animals,negative,0
245,8490c29c-177f-4c21-9d37-d509f9287f30,disgust,5/26/2021 7:47,GIF,tennis,negative,0
246,bf8e2e7a-7a90-47f8-8dd6-01f8c6aa32ed,disgust,4/20/2021 11:09,video,science,negative,0
252,7c2e209e-acea-4246-a32d-636e2f2cc2c1,disgust,3/23/2021 9:39,video,dogs,negative,0
253,2eb7feec-26a4-4949-8470-3e66c16536e9,disgust,8/26/2020 14:32,video,tennis,negative,0
254,f783f128-6f66-4ef3-a190-5afc29d17012,disgust,5/2/2021 6:03,GIF,tennis,negative,0
255,7bb8c7ec-8d65-43e8-a9fb-ac01936b18cc,disgust,2/24/2021 18:21,video,cooking,negative,0
256,7bb8c7ec-8d65-43e8-a9fb-ac01936b18cc,disgust,7/4/2020 5:59,video,cooking,negative,0
257,6e418568-a2b9-4d08-b241-06362c96a7f1,disgust,2/2/2021 7:51,video,food,negative,0
258,6e418568-a2b9-4d08-b241-06362c96a7f1,disgust,4/16/2021 3:54,video,food,negative,0
259,93c0f4f6-8c1e-453e-8df0-3015b1e76376,disgust,12/2/2020 1:41,video,technology,negative,0
260,93c0f4f6-8c1e-453e-8df0-3015b1e76376,disgust,10/13/2020 17:28,video,technology,negative,0
262,c6f6e0f3-9fae-4bf9-abb3-cd7248a51061,disgust,5/2/2021 9:58,audio,culture,negative,0
263,c6f6e0f3-9fae-4bf9-abb3-cd7248a51061,disgust,10/8/2020 12:47,audio,culture,negative,0
265,413101f7-ea05-4df6-97cf-9891245c5ed7,disgust,11/10/2020 1:47,photo,science,negative,0
266,c136ae25-d882-4e2c-b515-5727ad2626a5,disgust,4/19/2021 0:15,photo,soccer,negative,0
267,c136ae25-d882-4e2c-b515-5727ad2626a5,disgust,2/28/2021 22:18,photo,soccer,negative,0
268,c136ae25-d882-4e2c-b515-5727ad2626a5,disgust,4/16/2021 11:04,photo,soccer,negative,0
269,c136ae25-d882-4e2c-b515-5727ad2626a5,disgust,8/24/2020 18:29,photo,soccer,negative,0
270,c136ae25-d882-4e2c-b515-5727ad2626a5,disgust,1/10/2021 5:06,photo,soccer,negative,0
271,fa781e01-b928-401f-86f4-d42b0a3b55ab,disgust,4/12/2021 12:29,photo,studying,negative,0
272,43e53b12-71cb-4aad-9cb7-8c3572053230,disgust,5/17/2021 3:31,audio,fitness,negative,0
273,43e53b12-71cb-4aad-9cb7-8c3572053230,disgust,9/30/2020 22:50,audio,fitness,negative,0
274,43e53b12-71cb-4aad-9cb7-8c3572053230,disgust,8/21/2020 22:25,audio,fitness,negative,0
275,43e53b12-71cb-4aad-9cb7-8c3572053230,disgust,7/28/2020 6:10,audio,fitness,negative,0
276,43e53b12-71cb-4aad-9cb7-8c3572053230,disgust,8/29/2020 22:25,audio,fitness,negative,0
277,a58c963f-1bec-4eee-b66f-60062a9dd96e,disgust,8/18/2020 18:21,video,dogs,negative,0
278,a58c963f-1bec-4eee-b66f-60062a9dd96e,disgust,9/3/2020 8:57,video,dogs,negative,0
280,748ab616-8066-4c61-b6af-d7442545d12a,disgust,3/29/2021 11:19,audio,veganism,negative,0
281,43da458b-66fe-4723-996c-57dcfad67edf,disgust,6/15/2021 6:17,GIF,food,negative,0
282,43da458b-66fe-4723-996c-57dcfad67edf,disgust,4/5/2021 15:06,GIF,food,negative,0
283,43da458b-66fe-4723-996c-57dcfad67edf,disgust,11/24/2020 6:34,GIF,food,negative,0
285,7dc268e5-b50d-4280-82aa-e08af75a8a0a,disgust,12/23/2020 14:58,photo,science,negative,0
286,7dc268e5-b50d-4280-82aa-e08af75a8a0a,disgust,9/18/2020 13:44,photo,science,negative,0
287,ebdf5d36-9ecc-44d7-b641-d33805709452,disgust,12/24/2020 19:41,audio,cooking,negative,0
288,ebdf5d36-9ecc-44d7-b641-d33805709452,disgust,12/5/2020 18:33,audio,cooking,negative,0
289,ebdf5d36-9ecc-44d7-b641-d33805709452,disgust,6/21/2020 6:14,audio,cooking,negative,0
290,1429467d-e8a2-4292-bd46-921e8bd87b30,disgust,11/1/2020 13:02,video,public speaking,negative,0
293,d16d21cd-30c7-4b1e-b50c-aff5808fe816,disgust,2/13/2021 13:12,photo,fitness,negative,0
294,27ec2b21-a749-4181-b182-150a174fc277,disgust,9/29/2020 7:59,GIF,animals,negative,0
295,27ec2b21-a749-4181-b182-150a174fc277,disgust,3/1/2021 8:15,GIF,animals,negative,0
298,bac28166-5b8d-4f5d-88da-8c8f9a1c3f5b,disgust,10/21/2020 22:08,video,food,negative,0
299,1f466010-5c87-4b81-be83-5856481231fb,disgust,4/17/2021 8:49,GIF,soccer,negative,0
300,1f466010-5c87-4b81-be83-5856481231fb,disgust,11/18/2020 7:45,GIF,soccer,negative,0
301,1f466010-5c87-4b81-be83-5856481231fb,disgust,12/19/2020 8:27,GIF,soccer,negative,0
302,496645a7-64f7-4c56-94f5-a71671cb262e,disgust,1/16/2021 13:22,GIF,dogs,negative,0
